,index,epoch,low,high,open,close,volume,date
215,84,1623773700,40055.76,40169.42,40131.92,40074.89,84.62476944,2021-06-15 16:15:00
216,83,1623774600,40003.73,40227.09,40076.74,40129.33,143.87342409,2021-06-15 16:30:00
217,82,1623775500,40091.41,40288.56,40129.33,40193.98,374.37487627,2021-06-15 16:45:00
218,81,1623776400,40126.37,40365.51,40193.98,40341.72,357.10782807,2021-06-15 17:00:00
219,80,1623777300,40215.89,40393.28,40344.37,40250.75,204.34921937,2021-06-15 17:15:00
220,79,1623778200,40237.97,40347.28,40252.67,40307.31,152.20350553,2021-06-15 17:30:00
221,78,1623779100,40295.67,40790.0,40303.8,40703.72,395.7903005,2021-06-15 17:45:00
222,77,1623780000,40701.2,41322.55,40703.71,41299.09,910.52238425,2021-06-15 18:00:00
223,76,1623780900,41130.6,41313.0,41299.09,41165.32,443.5940769,2021-06-15 18:15:00
224,75,1623781800,40907.19,41200.0,41169.03,40917.79,372.24774686,2021-06-15 18:30:00
225,74,1623782700,40516.36,40971.0,40911.51,40583.96,545.78661313,2021-06-15 18:45:00
226,73,1623783600,40394.77,40690.02,40583.95,40480.92,301.90022945,2021-06-15 19:00:00
227,72,1623784500,39900.0,40554.42,40478.51,40128.97,515.67745,2021-06-15 19:15:00
228,71,1623785400,40021.65,40220.59,40133.35,40117.77,193.11078768,2021-06-15 19:30:00
229,70,1623786300,39771.01,40135.12,40117.78,39962.73,368.30523727,2021-06-15 19:45:00
230,69,1623787200,39510.98,39967.5,39962.83,39790.57,436.34990108,2021-06-15 20:00:00
231,68,1623788100,39735.9,40119.58,39790.57,40017.69,208.2501584,2021-06-15 20:15:00
232,67,1623789000,39963.58,40214.69,40017.68,40029.83,249.95332085,2021-06-15 20:30:00
233,66,1623789900,39749.55,40050.77,40029.83,39955.8,185.34250597,2021-06-15 20:45:00
234,65,1623790800,39854.7,40038.33,39960.93,40014.81,125.80732879,2021-06-15 21:00:00
235,64,1623791700,39976.1,40098.79,40014.81,40022.0,93.90452593,2021-06-15 21:15:00
236,63,1623792600,39976.42,40110.36,40022.0,40054.03,137.17952681,2021-06-15 21:30:00
237,62,1623793500,39926.59,40077.67,40054.02,39985.24,96.10945367,2021-06-15 21:45:00
238,61,1623794400,39972.22,40152.83,39985.23,40128.94,99.92568727,2021-06-15 22:00:00
239,60,1623795300,40095.0,40221.07,40128.93,40170.0,139.03810723,2021-06-15 22:15:00
240,59,1623796200,40082.35,40207.6,40170.0,40152.01,59.81732403,2021-06-15 22:30:00
241,58,1623797100,40074.47,40202.66,40152.02,40137.41,71.62104294,2021-06-15 22:45:00
242,57,1623798000,40104.22,40202.29,40137.41,40145.42,89.97503312,2021-06-15 23:00:00
243,56,1623798900,40107.51,40382.25,40145.43,40290.29,109.25331034,2021-06-15 23:15:00
244,55,1623799800,40203.44,40374.47,40287.62,40345.79,63.85663847,2021-06-15 23:30:00
245,54,1623800700,40149.45,40377.67,40345.79,40162.37,79.08708439,2021-06-15 23:45:00
246,53,1623801600,39978.04,40160.0,40158.06,40116.87,131.63596411,2021-06-16 00:00:00
247,52,1623802500,39930.12,40149.98,40117.89,39984.67,104.7683349,2021-06-16 00:15:00
248,51,1623803400,39928.04,40070.42,39984.67,40000.8,78.68891593,2021-06-16 00:30:00
249,50,1623804300,39829.4,40058.99,40000.8,39886.89,131.13249906,2021-06-16 00:45:00
250,49,1623805200,39612.0,39918.08,39886.9,39826.34,184.30556719,2021-06-16 01:00:00
251,48,1623806100,39713.53,39882.97,39824.16,39865.95,103.644666,2021-06-16 01:15:00
252,47,1623807000,39863.94,40064.57,39863.94,40020.0,100.47079792,2021-06-16 01:30:00
253,46,1623807900,39956.82,40109.4,40020.01,40109.39,73.04533896,2021-06-16 01:45:00
254,45,1623808800,40045.59,40161.66,40098.9,40113.6,88.80481753,2021-06-16 02:00:00
255,44,1623809700,40044.51,40180.08,40111.28,40130.14,47.80069675,2021-06-16 02:15:00
256,43,1623810600,39970.9,40172.65,40130.16,39999.77,43.50232089,2021-06-16 02:30:00
257,42,1623811500,39910.0,40100.0,39991.2,40049.17,87.31279257,2021-06-16 02:45:00
258,41,1623812400,39832.96,40059.27,40046.69,39871.54,122.96554424,2021-06-16 03:00:00
259,40,1623813300,39837.24,39999.74,39871.54,39891.23,142.28985886,2021-06-16 03:15:00
260,39,1623814200,39836.33,40046.44,39891.23,40021.5,49.81636953,2021-06-16 03:30:00
261,38,1623815100,39980.68,40108.4,40021.49,40026.04,38.37968374,2021-06-16 03:45:00
262,37,1623816000,39928.72,40055.67,40024.77,39982.77,35.2689569,2021-06-16 04:00:00
263,36,1623816900,39861.33,40011.86,39982.77,39908.06,58.94577154,2021-06-16 04:15:00
264,35,1623817800,39892.06,40425.0,39908.05,40233.66,273.26670477,2021-06-16 04:30:00
265,34,1623818700,40212.1,40337.93,40233.66,40271.81,95.92864911,2021-06-16 04:45:00
266,33,1623819600,40173.95,40355.0,40275.44,40205.22,151.27475382,2021-06-16 05:00:00
267,32,1623820500,40166.06,40245.99,40207.79,40192.32,64.13495673,2021-06-16 05:15:00
268,31,1623821400,40157.75,40359.6,40192.31,40290.25,186.23231823,2021-06-16 05:30:00
269,30,1623822300,40232.75,40323.99,40287.54,40257.54,111.26798568,2021-06-16 05:45:00
270,29,1623823200,40180.15,40300.0,40261.82,40216.13,93.11002855,2021-06-16 06:00:00
271,28,1623824100,40205.96,40475.99,40220.24,40446.31,147.47487951,2021-06-16 06:15:00
272,27,1623825000,40354.32,40464.15,40446.3,40395.45,102.29832262,2021-06-16 06:30:00
273,26,1623825900,40352.0,40499.0,40395.48,40390.26,77.21884125,2021-06-16 06:45:00
274,25,1623826800,40313.42,40448.2,40389.47,40313.47,46.62457958,2021-06-16 07:00:00
275,24,1623827700,40227.62,40335.51,40313.48,40250.01,83.45614965,2021-06-16 07:15:00
